# t (s)	mx ()	my ()	mz ()
3.4801692814887523e-09	-5.591428e-06	-9.646174e-07	0.97490543
3.4899435503342975e-09	4.398593e-06	1.0343501e-07	0.9749054
3.500939677608428e-09	-5.3360127e-06	-1.0691583e-06	0.97490543
3.5107137448347237e-09	4.206813e-06	2.3166649e-07	0.9749054
3.520488082109891e-09	-5.4924167e-06	-1.0006479e-06	0.9749054
3.5302624084614978e-09	4.2925676e-06	1.557637e-07	0.9749054
3.540036707955511e-09	-5.547161e-06	-9.2817936e-07	0.9749054
3.549811006493073e-09	4.2834145e-06	6.472692e-08	0.9749054
3.5608069218503755e-09	-5.3382246e-06	-1.0548392e-06	0.97490543
3.570581244501749e-09	4.1564927e-06	1.8195715e-07	0.97490543
3.5803554810673744e-09	-5.4496777e-06	-9.932555e-07	0.9749054
3.5901298042139077e-09	4.229092e-06	1.00873876e-07	0.97490543
3.5999040912153936e-09	-5.4592674e-06	-9.171199e-07	0.9749054
3.6109001494991257e-09	3.9953156e-06	2.1170126e-07	0.9749054
3.6206746363989185e-09	-5.291833e-06	-1.0362128e-06	0.97490543
3.6304487809274675e-09	4.1351595e-06	1.4959369e-07	0.9749054
3.640222893383158e-09	-5.3724652e-06	-9.584473e-07	0.9749054
3.6499971142829987e-09	4.1747844e-06	8.009374e-08	0.9749054
3.6597710640911777e-09	-5.3625117e-06	-8.693896e-07	0.97490543
3.670767469626751e-09	3.981535e-06	2.0232983e-07	0.97490543
3.680541223267336e-09	-5.2585237e-06	-9.894138e-07	0.97490543
3.690315320040929e-09	4.0794985e-06	1.3623503e-07	0.9749054
3.7000898201141214e-09	-5.321461e-06	-9.154319e-07	0.9749054
3.709863617043871e-09	4.08302e-06	5.6345016e-08	0.9749055
3.7208597885561012e-09	-5.106631e-06	-1.0288059e-06	0.9749054
3.730633611072104e-09	3.9398583e-06	1.7057027e-07	0.97490543
3.740407519584276e-09	-5.2295654e-06	-9.691867e-07	0.97490543
3.750181733584269e-09	4.0167215e-06	9.511132e-08	0.9749054
3.759955570289085e-09	-5.254813e-06	-8.973293e-07	0.97490543
3.77095154969556e-09	3.7728896e-06	1.9744039e-07	0.9749054
3.780726006080217e-09	-5.0810486e-06	-1.0128133e-06	0.9749054
3.790499893466706e-09	3.9161678e-06	1.3568206e-07	0.97490543
3.800274040806829e-09	-5.1705574e-06	-9.430514e-07	0.97490543
3.810048364893534e-09	3.9660226e-06	6.638584e-08	0.9749054
3.8198223165408305e-09	-5.1709067e-06	-8.6281216e-07	0.9749054
3.830818110377348e-09	3.7678983e-06	1.785811e-07	0.97490543
3.840592268487099e-09	-5.0505623e-06	-9.769574e-07	0.9749054
3.850366271279016e-09	3.876936e-06	1.17113814e-07	0.9749054
3.86014012884258e-09	-5.118607e-06	-9.0542017e-07	0.97490543
3.869914479721861e-09	3.8940925e-06	4.377216e-08	0.9749054
3.880909821431734e-09	-4.895046e-06	-1.009088e-06	0.9749054
3.890684082153127e-09	3.7416903e-06	1.557055e-07	0.9749054
3.900457536870244e-09	-5.024718e-06	-9.4930874e-07	0.9749054
3.910231499891619e-09	3.823676e-06	8.684583e-08	0.9749054
3.920005445551215e-09	-5.063601e-06	-8.8036177e-07	0.9749054
3.92977919382177e-09	3.817331e-06	8.614734e-09	0.9749054
3.940774961135339e-09	-4.884394e-06	-9.903088e-07	0.9749054
3.950548824244819e-09	3.7165737e-06	1.23051e-07	0.9749054
3.9603227478065195e-09	-4.9826776e-06	-9.275682e-07	0.9749054
3.9700962190907026e-09	3.7744321e-06	5.4133125e-08	0.9749054
3.9798701256604775e-09	-4.9922237e-06	-8.5425563e-07	0.97490525
3.990865478264526e-09	3.5716657e-06	1.5785918e-07	0.97490543
4.000639316087459e-09	-4.8599904e-06	-9.633368e-07	0.9749054
4.010413132331545e-09	3.6888523e-06	9.9651515e-08	0.9749054
4.0201868437395975e-09	-4.9330847e-06	-8.958159e-07	0.97490543
4.029960657585549e-09	3.7172285e-06	3.0966476e-08	0.9749054
4.040956178498307e-09	-4.703048e-06	-9.918294e-07	0.9749054
4.05072980535452e-09	3.5573757e-06	1.3835961e-07	0.9749054
4.060503322447533e-09	-4.8374495e-06	-9.3368e-07	0.9749054
4.070277165142723e-09	3.6452257e-06	7.566996e-08	0.9749054
4.080051185892029e-09	-4.8850343e-06	-8.668576e-07	0.9749054
4.08982525772517e-09	3.6474084e-06	2.1536835e-09	0.9749054
4.100820474009522e-09	-4.7004723e-06	-9.699725e-07	0.9749054
4.110594035504028e-09	3.5360717e-06	1.1030352e-07	0.9749054
4.120367878132217e-09	-4.8055517e-06	-9.110663e-07	0.9749054
4.130141497430941e-09	3.6001002e-06	4.5489287e-08	0.9749054
4.139915250873806e-09	-4.8250513e-06	-8.4238127e-07	0.9749054
4.150910561736707e-09	3.3905671e-06	1.4225952e-07	0.9749054
4.160684066109396e-09	-4.684902e-06	-9.4715506e-07	0.9749054
4.170457705495282e-09	3.5130797e-06	8.556526e-08	0.9749054
4.1802311369045994e-09	-4.763162e-06	-8.8405795e-07	0.9749054
4.190004922378126e-09	3.5503763e-06	2.0489097e-08	0.97490543
4.199778470407882e-09	-4.758782e-06	-8.122297e-07	0.9749054
4.210773979952045e-09	3.3850229e-06	1.223525e-07	0.9749054
4.220547512590392e-09	-4.665475e-06	-9.200303e-07	0.9749054
4.230320999056449e-09	3.4788827e-06	6.3526386e-08	0.9749054
4.2400945006052495e-09	-4.719943e-06	-8.549541e-07	0.9749054
4.2498683331468404e-09	3.4896366e-06	-4.8894435e-09	0.9749053
4.260863626115152e-09	-4.530433e-06	-9.521609e-07	0.9749054
4.270637122745341e-09	3.3687393e-06	9.872019e-08	0.9749053
4.280410547835633e-09	-4.6408386e-06	-8.96398e-07	0.9749054
4.29018451783953e-09	3.4384575e-06	3.585592e-08	0.9749054
4.299957927007336e-09	-4.668502e-06	-8.312054e-07	0.9749053
4.310953040541467e-09	3.2242679e-06	1.2706732e-07	0.9749053
4.3207269682818985e-09	-4.5220077e-06	-9.3108974e-07	0.9749053
4.330500492864827e-09	3.350302e-06	7.395283e-08	0.9749054
4.340274220908525e-09	-4.6055065e-06	-8.716015e-07	0.9749054
4.350047959047289e-09	3.395282e-06	1.0826625e-08	0.9749054
4.35982138557807e-09	-4.608606e-06	-8.0337486e-07	0.9749054
4.370816457555555e-09	3.2245298e-06	1.0803342e-07	0.9749054
4.38058979556865e-09	-4.5060733e-06	-9.0617687e-07	0.9749054
4.39036346185441e-09	3.323541e-06	5.2154064e-08	0.9749054
4.400136737392597e-09	-4.5667402e-06	-8.4436033e-07	0.9749054
4.40991033939363e-09	3.342342e-06	-1.2805685e-08	0.9749054
4.420905740573559e-09	-4.372341e-06	-9.3574636e-07	0.9749054
4.4306790275069875e-09	3.2140815e-06	8.562347e-08	0.9749054
4.440452743899085e-09	-4.4871413e-06	-8.828938e-07	0.9749054
4.450226083494617e-09	3.2886892e-06	2.7241185e-08	0.9749054
4.4599996099131754e-09	-4.522197e-06	-8.2096085e-07	0.9749054
4.4697727491922995e-09	3.2842072e-06	-3.990135e-08	0.9749054
4.480768138010861e-09	-4.369227e-06	-9.160249e-07	0.97490543
4.490541553776177e-09	3.1995733e-06	6.274786e-08	0.9749054
4.500314949930171e-09	-4.4582266e-06	-8.602219e-07	0.9749053
4.510088485956918e-09	3.2501994e-06	2.0954758e-09	0.9749054
4.519862159632109e-09	-4.469228e-06	-7.954659e-07	0.9749054
4.53085722088381e-09	3.0742522e-06	9.359792e-08	0.97490543
4.540630870876276e-09	-4.3587206e-06	-8.934294e-07	0.9749054
4.550403721784248e-09	3.1783566e-06	4.02797e-08	0.9749053
4.560177384466137e-09	-4.4238113e-06	-8.3545456e-07	0.9749054
4.569950490189878e-09	3.2046228e-06	-2.165325e-08	0.97490543
4.580945940978191e-09	-4.2251195e-06	-9.214273e-07	0.9749053
4.590719508571098e-09	3.0702213e-06	7.357448e-08	0.97490543
4.600492698547142e-09	-4.342539e-06	-8.7032095e-07	0.9749054
4.610266400307698e-09	3.149631e-06	1.8655555e-08	0.97490525
4.620040076340823e-09	-4.3845066e-06	-8.106872e-07	0.97490543
4.629813314482817e-09	3.151974e-06	-4.4936314e-08	0.9749053
4.640808686180575e-09	-4.227215e-06	-9.0152025e-07	0.9749053
4.650581871711294e-09	3.0583324e-06	5.1921234e-08	0.9749054
4.660355457879579e-09	-4.3208565e-06	-8.48755e-07	0.97490543
4.670128820137888e-09	3.1144446e-06	-5.5879354e-09	0.9749054
4.67990180357523e-09	-4.3384352e-06	-7.8743324e-07	0.97490543
4.690896491735312e-09	2.9349467e-06	8.032657e-08	0.9749054
4.700670068952085e-09	-4.221074e-06	-8.8103116e-07	0.9749054
4.71044308208659e-09	3.0420197e-06	3.009336e-08	0.9749054
4.720216653236248e-09	-4.290807e-06	-8.2538463e-07	0.9749054
4.72999006000568e-09	3.0750962e-06	-2.8871e-08	0.9749054
4.739763464634633e-09	-4.285772e-06	-7.621129e-07	0.9749054
4.750758747266709e-09	2.9348303e-06	6.239861e-08	0.9749055
4.760531779809515e-09	-4.209054e-06	-8.587376e-07	0.97490543
4.770305390007776e-09	3.0183292e-06	9.138603e-09	0.9749053
4.780078612507277e-09	-4.256348e-06	-8.016359e-07	0.9749054
4.789851843566771e-09	3.0281517e-06	-5.1397365e-08	0.9749054
4.800846709938441e-09	-4.093861e-06	-8.8778324e-07	0.9749054
4.810619974187532e-09	2.9276125e-06	4.2142347e-08	0.9749054
4.820393543266198e-09	-4.1911844e-06	-8.3679333e-07	0.9749054
4.830166777542562e-09	2.988163e-06	-1.2572855e-08	0.9749054
4.839940012609523e-09	-4.215064e-06	-7.7812e-07	0.9749054
4.850934930610425e-09	2.8044742e-06	6.920891e-08	0.9749054
4.860708133396282e-09	-4.0926243e-06	-8.677598e-07	0.9749054
4.8704814733288445e-09	2.9143848e-06	2.1245796e-08	0.9749054
4.880254444796326e-09	-4.1665335e-06	-8.158386e-07	0.9749054
4.890027886474142e-09	2.95254e-06	-3.5048288e-08	0.97490543
4.899800936727894e-09	-4.1684107e-06	-7.5553544e-07	0.9749053
4.910795896788564e-09	2.8081704e-06	5.0320523e-08	0.97490543
4.920569267824549e-09	-4.083675e-06	-8.478528e-07	0.9749054
4.930342009265685e-09	2.896064e-06	9.313226e-10	0.9749054
4.940114991108882e-09	-4.135305e-06	-7.9270103e-07	0.9749054
4.94988879277274e-09	2.9115326e-06	-5.675247e-08	0.9749054
4.960883692223509e-09	-3.9691804e-06	-8.745119e-07	0.9749053
4.9706568352391805e-09	2.804809e-06	3.2538082e-08	0.9749054
4.980429889456998e-09	-4.0700106e-06	-8.265779e-07	0.97490543
4.990203288992449e-09	2.8690993e-06	-1.9557774e-08	0.9749053
4.999976421127476e-09	-4.0998857e-06	-7.704366e-07	0.9749054
5.010971459665884e-09	2.6823836e-06	5.797483e-08	0.9749053
5.020744649724837e-09	-3.9716106e-06	-8.561183e-07	0.9749054
5.030517694771346e-09	2.7955248e-06	1.1874363e-08	0.9749054
5.040291013427216e-09	-4.0493032e-06	-8.060597e-07	0.9749054
5.050064467256513e-09	2.8384384e-06	-4.2433385e-08	0.9749054
5.05983756597337e-09	-4.056681e-06	-7.485505e-07	0.9749054
5.0708323060552655e-09	2.6895577e-06	4.004687e-08	0.9749054
5.080605491497849e-09	-3.965877e-06	-8.3690975e-07	0.9749054
5.0903785079907114e-09	2.7805654e-06	-7.21775e-09	0.9749054
5.100151851211654e-09	-4.0219165e-06	-7.8379526e-07	0.9749054
5.1099253165869525e-09	2.8013892e-06	-6.263144e-08	0.9749054
5.120919980755991e-09	-3.8525322e-06	-8.6263753e-07	0.97490543
5.130693566434031e-09	2.6888738e-06	2.3283064e-08	0.9749053
5.140466762133867e-09	-3.956011e-06	-8.1700273e-07	0.9749054
5.150240110511906e-09	2.7576898e-06	-2.7823262e-08	0.9749054
5.160012866493347e-09	-3.9904407e-06	-7.6310243e-07	0.9749054
5.169785977347585e-09	2.757748e-06	-8.4517524e-08	0.97490543
5.180780723023125e-09	-3.8575236e-06	-8.4517524e-07	0.9749053
5.1905534677518864e-09	2.683446e-06	3.4924597e-09	0.97490543
5.200327203977592e-09	-3.9386505e-06	-7.969793e-07	0.9749054
5.210100598414185e-09	2.730565e-06	-4.839967e-08	0.9749054
5.219873686476359e-09	-3.951791e-06	-7.4208947e-07	0.9749054
5.2308689479824405e-09	2.577086e-06	3.0267984e-08	0.9749054
5.240642075837574e-09	-3.855632e-06	-8.2701445e-07	0.9749053
5.2504151785511975e-09	2.671004e-06	-1.5133992e-08	0.9749054
5.2601881951163216e-09	-3.91528e-06	-7.76723e-07	0.97490543
5.269961212382626e-09	2.6978669e-06	-6.8335794e-08	0.9749054
5.280956211531925e-09	-3.7423742e-06	-8.516945e-07	0.9749054
5.290729340140899e-09	2.5807094e-06	1.3853423e-08	0.9749054
5.300502424027188e-09	-3.848181e-06	-8.074567e-07	0.9749054
5.310275912144675e-09	2.6527123e-06	-3.3760443e-08	0.9749054
5.3200491001341825e-09	-3.887515e-06	-7.560011e-07	0.9749054
5.329822176184044e-09	2.658213e-06	-8.926145e-08	0.9749054
5.340816845456018e-09	-3.7505379e-06	-8.34465e-07	0.9749054
5.350590399734909e-09	2.5768677e-06	-4.7439244e-09	0.9749054
5.360363352882394e-09	-3.8347935e-06	-7.888884e-07	0.9749053
5.370136534699286e-09	2.6284542e-06	-5.4307748e-08	0.9749054
5.379909513875426e-09	-3.85342e-06	-7.3597766e-07	0.97490543
5.390904607979468e-09	2.4720357e-06	2.0721927e-08	0.9749053
5.400677834527841e-09	-3.7505088e-06	-8.17352e-07	0.9749054
5.410450949332857e-09	2.5687623e-06	-2.2468157e-08	0.9749053
